循环次数,Time,Voltage,剩余寿命(RUL)
161,2043.88,3.998,952
162,2043.88,4.007,951
163,2063.62,3.992,950
164,2063.94,3.994,949
165,2060.42,3.994,948
166,2056.9,3.995,947
167,2054.37,3.995,946
168,2051.17,3.995,945
169,2047.81,3.995,944
170,2045.38,3.994,943
171,2042.37,3.994,942
172,2039.71,3.995,941
173,2036.9,3.994,940
174,2035.27,3.995,939
175,2033.47,3.994,938
176,2032.0,3.994,937
177,2030.14,3.995,936
178,2028.0,3.995,935
179,2026.05,3.994,934
180,2024.38,3.994,933
181,2022.75,3.994,932
182,2020.77,3.994,931
183,2020.39,3.995,930
184,2018.94,3.994,929
185,2018.08,3.994,928
186,2017.06,4.003,927
187,2016.22,3.989,926
188,2021.81,3.993,925
189,2020.78,3.994,924
190,2018.25,3.993,923
191,2016.12,3.993,922
192,2014.19,3.993,921
193,2012.34,3.993,920
194,2010.22,3.993,919
195,2008.03,3.993,918
196,2006.38,3.993,917
197,2004.31,3.993,916
198,2003.25,3.992,915
199,2001.22,3.992,914
200,1999.81,3.991,913
201,1998.75,3.992,912
202,1997.06,3.992,911
203,1996.0,3.992,910
204,1994.91,3.992,909
205,1993.31,3.991,908
206,1992.16,3.991,907
207,1990.62,3.991,906
208,1989.94,3.991,905
209,1987.56,3.991,904
210,1985.56,3.999,903
211,200892.99,4.269,902
212,2010.88,3.983,901
213,2014.4,3.987,900
214,2012.29,3.987,899
215,2009.31,3.987,898
216,2006.66,3.987,897
217,2003.97,3.988,896
218,2000.64,3.988,895
219,1998.11,3.988,894
220,1995.24,3.987,893
221,1992.42,3.987,892
222,1989.82,3.987,891
223,1986.75,3.987,890
224,1985.02,3.987,889
225,1982.75,3.988,888
226,1981.09,3.988,887
227,1978.81,3.987,886
228,1976.89,3.987,885
229,1974.08,3.987,884
230,1972.78,3.987,883
231,1971.36,3.987,882
232,1969.59,3.987,881
233,1968.67,3.987,880
234,1966.28,3.987,879
235,1962.97,3.994,878
236,1962.94,3.981,877
237,1969.38,3.986,876
238,1968.06,3.986,875
239,1966.09,3.986,874
240,1963.03,3.986,873
241,1961.22,3.986,872
242,1958.5,3.985,871
243,1956.41,3.985,870
244,1955.03,3.986,869
245,1953.62,3.986,868
246,1951.09,3.986,867
247,1950.19,3.985,866
248,1948.62,3.985,865
249,1946.91,3.985,864
250,1945.41,3.985,863
251,1943.84,3.985,862
252,1942.44,3.984,861
253,1941.44,3.984,860
254,1940.31,3.984,859
255,1938.59,3.984,858
256,1937.28,3.984,857
257,1935.62,3.983,856
258,1932.0,3.983,855
259,1928.62,3.991,854
260,1936.42,3.977,853
261,1936.8,3.979,852
262,1939.39,3.982,851
263,1937.95,3.982,850
264,1934.85,3.982,849
265,1934.24,3.982,848
266,1932.0,3.982,847
267,1930.66,3.981,846
268,1927.2,3.98,845
269,1926.2,3.981,844
270,1923.91,3.98,843
271,1922.37,3.98,842
272,1921.02,3.98,841
273,1919.56,3.98,840
274,1918.12,3.98,839
275,1916.39,3.98,838
276,1914.77,3.979,837
277,1913.31,3.98,836
278,1912.0,3.979,835
279,1910.05,3.979,834
280,1908.97,3.979,833
281,1908.06,3.979,832
282,1906.72,3.979,831
283,1904.0,3.987,830
284,1907.16,3.976,829
285,1908.06,3.978,828
286,1908.34,3.978,827
287,1908.62,3.979,826
288,1907.03,3.979,825
289,1903.66,3.979,824
290,1900.97,3.978,823
291,1900.5,3.979,822
292,1898.62,3.979,821
293,1896.72,3.979,820
294,1895.94,3.978,819
295,1894.53,3.979,818
296,1893.53,3.979,817
297,1890.94,3.978,816
298,1889.97,3.978,815
299,1888.47,3.978,814
300,1886.81,3.978,813
301,1885.31,3.977,812
302,1885.44,3.978,811
303,1883.34,3.977,810
304,1881.53,3.977,809
305,1879.31,3.977,808
306,1877.69,3.977,807
307,1873.94,3.984,806
308,198748.44,4.266,805
309,1912.74,3.973,804
310,1919.26,3.977,803
311,1918.98,3.977,802
312,1916.86,3.978,801
313,1915.1,3.978,800
314,1911.9,3.978,799
315,1909.73,3.978,798
316,1906.81,3.978,797
317,1903.68,3.978,796
318,1913.92,3.981,795
319,1899.74,3.979,794
320,1895.55,3.978,793
321,1892.89,3.978,792
322,1890.51,3.978,791
323,1887.95,3.977,790
324,1884.0,3.978,789
325,1885.31,3.978,788
326,1883.25,3.978,787
327,1880.84,3.978,786
328,1879.36,3.978,785
329,1877.01,3.977,784
330,1875.33,3.977,783
331,1872.2,3.976,782
332,1864.94,3.982,781
333,1868.56,3.971,780
334,1874.72,3.975,779
335,1873.47,3.976,778
336,1870.91,3.976,777
337,1868.25,3.976,776
338,1864.75,3.975,775
339,1862.91,3.976,774
340,1860.75,3.976,773
341,1859.22,3.976,772
342,1857.72,3.975,771
343,1855.88,3.976,770
344,1854.25,3.975,769
345,1852.38,3.976,768
346,1850.19,3.975,767
347,1849.16,3.975,766
348,1845.72,3.975,765
349,1845.12,3.975,764
350,1843.44,3.974,763
351,1842.16,3.974,762
352,1841.44,3.974,761
353,1839.44,3.974,760
354,1837.59,3.974,759
355,1833.31,3.973,758
356,1824.88,3.978,757
357,1836.96,3.966,756
358,1840.29,3.969,755
359,1839.71,3.97,754
360,1836.03,3.97,753
361,1833.57,3.97,752
362,1831.29,3.97,751
363,1829.09,3.97,750
364,1828.03,3.97,749
365,1825.73,3.97,748
366,1823.49,3.97,747
367,1822.09,3.97,746
368,1820.61,3.97,745
369,168.0,3.97,744
386,1799.55,3.968,727
387,1796.76,3.967,726
388,1794.86,3.967,725
389,1793.03,3.967,724
390,1791.58,3.967,723
391,1789.64,3.967,722
392,1787.78,3.967,721
393,1785.31,3.967,720
394,1784.06,3.967,719
395,1782.72,3.967,718
396,1781.61,3.967,717
397,1779.66,3.967,716
398,1778.47,3.967,715
399,1776.78,3.966,714
400,1775.88,3.966,713
401,1774.22,3.966,712
402,1771.25,3.965,711
403,1761.69,3.968,710
404,197016.9,4.262,709
405,1792.48,3.955,708
406,1799.46,3.96,707
407,1800.26,3.96,706
408,1799.68,3.961,705
409,1797.15,3.961,704
410,1795.14,3.962,703
411,1793.12,3.961,702
412,1790.88,3.961,701
413,1788.29,3.962,700
414,1786.27,3.962,699
415,1782.91,3.962,698
416,1779.75,3.961,697
417,1777.0,3.961,696
418,1774.34,3.961,695
419,1771.66,3.961,694
420,1769.25,3.96,693
421,1766.23,3.961,692
422,1764.42,3.96,691
423,1761.23,3.96,690
424,1759.58,3.959,689
425,1756.42,3.959,688
426,1753.83,3.959,687
427,1751.08,3.959,686
428,1737.91,3.961,685
429,1746.22,3.953,684
430,1750.38,3.958,683
431,1749.59,3.959,682
434,1747.2,3.958,679
435,1746.37,3.959,678
436,1745.12,3.959,677
437,1742.3,3.959,676
438,1740.35,3.959,675
439,1738.17,3.959,674
440,1734.18,3.959,673
441,1731.94,3.958,672
442,1729.31,3.958,671
443,1727.62,3.958,670
444,1725.88,3.959,669
445,1724.87,3.959,668
446,1722.26,3.958,667
447,1720.16,3.958,666
448,1718.34,3.957,665
449,1716.73,3.958,664
450,1714.41,3.957,663
451,1711.11,3.957,662
452,1709.41,3.957,661
453,1706.3,3.957,660
454,1693.76,3.958,659
455,1725.02,3.949,658
456,1727.49,3.953,657
457,1725.63,3.954,656
458,1723.36,3.954,655
459,1719.68,3.953,654
460,1717.18,3.954,653
461,1713.63,3.954,652
462,1710.5,3.953,651
463,1707.13,3.953,650
464,1705.92,3.953,649
465,1703.94,3.953,648
466,1701.44,3.953,647
467,1699.14,3.953,646
468,1697.25,3.952,645
469,1695.97,3.952,644
470,1767.97,3.954,643
471,1760.88,3.951,642
472,1753.88,3.949,641
473,1678.66,3.948,640
474,1678.75,3.949,639
475,1681.25,3.95,638
476,1675.52,3.949,637
477,1672.7,3.949,636
479,1625.86,3.939,634
480,1636.25,3.945,633
481,1636.58,3.947,632
482,1635.81,3.947,631
483,1634.79,3.947,630
484,1633.18,3.947,629
485,1632.26,3.947,628
486,1629.89,3.947,627
487,1627.68,3.946,626
488,1625.63,3.946,625
489,1623.46,3.945,624
490,1622.49,3.945,623
491,1620.49,3.945,622
492,1619.49,3.945,621
493,1617.12,3.945,620
494,1615.2,3.945,619
495,1612.7,3.944,618
496,1610.78,3.944,617
497,1608.36,3.943,616
498,1606.06,3.943,615
499,1605.64,3.944,614
500,1604.16,3.944,613
501,1602.95,3.944,612
502,1585.98,3.941,611
503,196104.06,4.256,610
504,1635.42,3.932,609
505,1645.38,3.938,608
506,1648.0,3.939,607
507,1646.34,3.94,606
508,1645.54,3.941,605
509,1642.98,3.941,604
510,1640.45,3.94,603
511,1638.66,3.941,602
512,1636.39,3.941,601
513,1633.57,3.94,600
514,1630.82,3.941,599
515,1628.38,3.941,598
516,1625.89,3.941,597
517,1623.88,3.941,596
518,1621.17,3.94,595
519,1618.84,3.94,594
520,1615.81,3.94,593
521,1699.23,3.942,592
522,1690.41,3.939,591
523,1685.5,3.938,590
524,1683.02,3.937,589
525,1680.7,3.937,588
526,1679.05,3.936,587
527,1643.59,3.921,586
528,1657.81,3.92,585
529,1672.72,3.928,584
530,1679.19,3.933,583
531,1679.25,3.933,582
532,1678.75,3.935,581
533,1675.75,3.934,580
534,1672.69,3.934,579
535,1669.84,3.934,578
536,1667.25,3.934,577
537,1664.78,3.934,576
538,1662.56,3.933,575
539,1660.44,3.932,574
540,1658.25,3.932,573
541,1657.0,3.932,572
542,1654.91,3.932,571
543,1652.59,3.932,570
544,1650.56,3.932,569
545,1644.0,3.932,568
546,1647.5,3.932,567
547,1646.19,3.932,566
548,1644.5,3.931,565
549,1642.75,3.931,564
550,1640.22,3.931,563
551,1606.88,3.917,562
552,1622.0,3.916,561
553,1629.44,3.921,560
554,1632.12,3.924,559
555,1639.0,3.93,558
556,1636.06,3.93,557
557,1634.19,3.929,556
558,1631.81,3.929,555
559,1632.25,3.93,554
560,1628.69,3.928,553
561,1628.56,3.928,552
562,1628.0,3.929,551
563,1625.69,3.929,550
564,1623.25,3.928,549
565,1620.62,3.928,548
566,1617.69,3.928,547
567,1616.0,3.928,546
568,1614.56,3.927,545
569,1613.44,3.928,544
570,1611.75,3.928,543
571,1609.94,3.928,542
572,1609.0,3.928,541
573,1607.56,3.928,540
574,1604.75,3.927,539
575,1576.81,3.914,538
576,1595.38,3.914,537
577,1597.25,3.919,536
578,1600.69,3.921,535
579,1606.44,3.925,534
580,1606.75,3.925,533
581,1603.12,3.926,532
582,1601.06,3.924,531
583,1598.88,3.925,530
584,1599.69,3.925,529
585,1595.81,3.924,528
586,1593.25,3.923,527
587,1593.25,3.924,526
588,1592.19,3.924,525
589,1584.0,3.923,524
590,1589.56,3.923,523
591,1588.75,3.922,522
592,1587.25,3.922,521
593,1584.88,3.922,520
594,1581.88,3.921,519
595,1578.88,3.921,518
596,1575.94,3.92,517
597,1573.88,3.92,516
598,1571.5,3.919,515
599,1545.88,3.91,514
600,190639.55,4.247,513
601,1582.43,3.895,512
602,1602.05,3.909,511
603,1609.82,3.913,510
604,1612.67,3.915,509
605,1611.62,3.916,508
606,1610.53,3.916,507
607,1609.34,3.917,506
608,1607.07,3.916,505
609,1605.09,3.917,504
610,1601.53,3.917,503
611,1598.47,3.916,502
612,1594.76,3.915,501
613,1592.87,3.916,500
614,1589.92,3.916,499
615,1587.91,3.916,498
616,1585.86,3.916,497
617,1583.84,3.916,496
618,1580.97,3.915,495
619,1578.52,3.915,494
620,1576.45,3.915,493
621,1573.47,3.914,492
622,1570.94,3.914,491
623,1569.22,3.913,490
624,1527.88,3.895,489
625,1544.66,3.897,488
626,1561.56,3.906,487
627,1567.19,3.91,486
628,1566.88,3.912,485
629,1564.19,3.911,484
630,1561.19,3.912,483
631,1558.16,3.911,482
632,1555.38,3.911,481
633,1552.56,3.911,480
634,1549.56,3.911,479
635,1547.47,3.91,478
636,1545.34,3.91,477
637,1543.88,3.91,476
638,1542.94,3.91,475
639,1540.66,3.91,474
640,1539.12,3.91,473
641,1537.06,3.909,472
642,1534.94,3.909,471
643,1533.31,3.908,470
644,1531.62,3.908,469
645,1529.44,3.907,468
646,1528.25,3.907,467
647,1525.56,3.907,466
650,1503.58,3.9,463
651,1509.15,3.904,462
652,1510.05,3.904,461
653,1508.93,3.903,460
654,1507.11,3.904,459
655,1505.15,3.903,458
656,1502.2,3.902,457
657,1503.13,3.904,456
658,1502.17,3.905,455
659,1488.0,3.905,454
660,1498.43,3.904,453
661,1497.47,3.905,452
662,1497.44,3.905,451
663,1496.64,3.905,450
664,1495.84,3.905,449
665,1494.75,3.904,448
666,1492.98,3.904,447
667,1490.75,3.903,446
668,1488.55,3.903,445
669,1486.75,3.903,444
670,1484.8,3.903,443
671,1482.98,3.903,442
672,1440.22,3.884,441
673,1454.5,3.885,440
674,1465.78,3.89,439
675,1474.34,3.895,438
676,1472.66,3.896,437
677,1474.47,3.897,436
678,1474.0,3.897,435
679,1473.09,3.896,434
680,1472.38,3.897,433
681,1468.38,3.896,432
682,1469.06,3.897,431
683,1467.44,3.897,430
684,1465.06,3.897,429
685,1463.72,3.897,428
686,1462.69,3.898,427
687,1462.16,3.897,426
688,1462.28,3.897,425
689,1460.62,3.897,424
690,1459.75,3.896,423
691,1457.81,3.897,422
692,1454.94,3.897,421
693,1453.81,3.896,420
694,1452.91,3.896,419
695,1451.94,3.896,418
696,1413.25,3.878,417
697,189082.15,4.241,416
698,1393.18,3.885,415
699,1407.39,3.9,414
700,1410.59,3.904,413
701,1409.44,3.906,412
702,1406.34,3.906,411
703,1402.72,3.907,410
704,1401.22,3.907,409
705,1398.69,3.907,408
706,1380.38,3.903,407
707,1369.63,3.9,406
708,1366.11,3.9,405
709,1365.63,3.9,404
710,1362.88,3.899,403
711,1361.54,3.899,402
712,1359.47,3.898,401
713,1354.17,3.897,400
714,1350.88,3.896,399
715,1345.61,3.896,398
716,1341.34,3.895,397
717,1335.69,3.895,396
718,1333.31,3.895,395
719,1330.53,3.894,394
720,1328.45,3.895,393
721,1295.42,3.881,392
722,1305.53,3.884,391
723,1317.78,3.889,390
724,1326.88,3.894,389
725,1326.03,3.895,388
726,1324.25,3.896,387
727,1321.59,3.895,386
728,1318.31,3.895,385
729,1315.72,3.895,384
730,1314.34,3.894,383
731,1310.66,3.894,382
732,1309.88,3.893,381
733,1308.62,3.893,380
734,1305.47,3.892,379
735,1304.75,3.892,378
736,1300.12,3.892,377
737,1295.75,3.891,376
738,1292.22,3.891,375
739,1289.0,3.89,374
740,1284.22,3.889,373
741,1281.09,3.888,372
742,1279.31,3.888,371
743,1278.41,3.888,370
744,1278.88,3.888,369
745,1246.34,3.876,368
746,1255.62,3.877,367
747,1256.94,3.88,366
748,1263.0,3.882,365
749,1269.31,3.885,364
750,1268.0,3.886,363
751,1268.62,3.886,362
752,1265.31,3.885,361
753,1261.19,3.885,360
754,1258.88,3.885,359
755,1255.38,3.884,358
756,1255.5,3.885,357
757,1256.81,3.886,356
758,1256.69,3.886,355
759,1257.56,3.886,354
760,1257.44,3.886,353
761,1255.44,3.886,352
762,1255.19,3.886,351
763,1252.31,3.885,350
764,1250.38,3.884,349
765,1247.12,3.883,348
766,1245.31,3.884,347
767,1243.94,3.883,346
768,1243.62,3.884,345
769,1220.44,3.873,344
770,1221.0,3.872,343
771,1227.19,3.876,342
772,1234.19,3.878,341
773,1238.62,3.878,340
774,1242.12,3.88,339
775,1239.88,3.881,338
776,1238.25,3.88,337
777,1235.69,3.88,336
778,1234.38,3.88,335
779,1232.0,3.88,334
780,1231.38,3.88,333
781,1232.5,3.88,332
782,1233.0,3.88,331
783,1231.5,3.88,330
784,1228.88,3.88,329
785,1228.56,3.88,328
786,1227.12,3.88,327
787,1224.88,3.879,326
788,1223.12,3.879,325
789,1221.06,3.878,324
790,1218.5,3.877,323
791,1214.56,3.877,322
792,1211.94,3.877,321
793,1200.06,3.87,320
794,192382.49,4.236,319
801,1232.67,3.873,312
802,1235.62,3.876,311
803,1239.07,3.877,310
804,1239.74,3.877,309
805,1241.28,3.878,308
806,1242.81,3.879,307
807,1237.86,3.878,306
808,1238.3,3.878,305
809,1235.58,3.878,304
810,1231.39,3.876,303
811,1231.78,3.877,302
812,1228.48,3.875,301
813,1231.94,3.876,300
814,1232.95,3.877,299
815,1232.25,3.875,298
816,1236.52,3.878,297
817,1236.61,3.877,296
818,1228.28,3.874,295
819,1212.36,3.868,294
820,1204.09,3.868,293
821,1198.75,3.867,292
822,1202.08,3.868,291
823,1204.09,3.871,290
824,1200.03,3.868,289
825,1211.47,3.871,288
826,1215.38,3.874,287
827,1215.25,3.874,286
828,1216.59,3.875,285
829,1215.09,3.874,284
830,1214.78,3.874,283
831,1209.16,3.874,282
832,1207.12,3.873,281
833,1206.41,3.874,280
834,1182.19,3.863,279
835,1189.34,3.87,278
836,1185.78,3.869,277
837,1184.94,3.869,276
838,1182.44,3.869,275
839,1192.16,3.872,274
840,1185.03,3.869,273
841,1184.69,3.87,272
842,1189.31,3.867,271
843,1196.41,3.87,270
844,1184.28,3.867,269
845,1170.81,3.864,268
846,1170.66,3.864,267
847,1171.44,3.863,266
848,1168.28,3.863,265
849,1167.56,3.865,264
850,1168.88,3.866,263
851,1177.31,3.869,262
852,1181.12,3.869,261
853,1180.25,3.87,260
854,1180.0,3.869,259
855,1179.31,3.87,258
856,1178.69,3.87,257
857,1176.81,3.869,256
858,1176.75,3.869,255
859,1172.75,3.869,254
860,1166.75,3.867,253
861,1162.44,3.865,252
862,1159.0,3.864,251
863,1156.62,3.863,250
864,1156.12,3.864,249
865,1159.31,3.864,248
866,1170.56,3.865,247
867,1169.94,3.865,246
868,1160.06,3.864,245
869,1153.31,3.863,244
870,1144.25,3.86,243
871,1136.0,3.858,242
872,1141.88,3.86,241
873,1134.19,3.858,240
874,1143.06,3.861,239
875,1140.81,3.86,238
876,1141.81,3.86,237
877,1149.69,3.863,236
878,1149.69,3.864,235
879,1151.44,3.864,234
880,1151.69,3.864,233
881,1154.38,3.863,232
882,1154.5,3.864,231
883,1152.94,3.863,230
884,1148.19,3.863,229
885,1144.56,3.861,228
886,1136.75,3.86,227
887,1134.94,3.86,226
888,1133.81,3.86,225
889,1131.38,3.859,224
890,1142.44,3.858,223
899,1147.42,3.857,214
900,1147.39,3.857,213
901,1145.18,3.858,212
902,1140.1,3.857,211
903,1139.75,3.858,210
904,1137.6,3.858,209
905,1142.95,3.859,208
906,1139.07,3.859,207
907,1138.53,3.859,206
908,1145.66,3.861,205
909,1144.77,3.86,204
910,1139.2,3.86,203
911,1137.88,3.86,202
912,1136.16,3.861,201
913,1136.19,3.859,200
914,1119.91,3.849,199
915,191180.17,4.228,198
916,1115.2,3.84,197
917,1126.27,3.849,196
918,1132.13,3.852,195
919,1138.62,3.855,194
920,1141.12,3.856,193
921,1145.02,3.857,192
922,1145.31,3.857,191
923,1145.89,3.858,190
924,1146.81,3.858,189
925,1146.02,3.857,188
926,1144.13,3.857,187
927,1140.93,3.857,186
928,1138.14,3.857,185
929,1137.19,3.857,184
930,1137.22,3.857,183
931,1138.33,3.857,182
932,1137.72,3.857,181
933,1134.39,3.857,180
934,1130.56,3.856,179
935,1122.77,3.854,178
936,1117.66,3.853,177
937,1112.7,3.852,176
938,1108.64,3.851,175
939,1087.94,3.837,174
940,1101.75,3.845,173
941,1105.69,3.849,172
942,1110.84,3.851,171
943,1110.84,3.852,170
944,1106.28,3.851,169
945,1107.44,3.851,168
946,1107.72,3.852,167
947,1111.56,3.852,166
948,1106.16,3.852,165
949,1105.16,3.852,164
950,1105.41,3.852,163
951,1104.97,3.852,162
952,1103.28,3.852,161
953,1103.5,3.852,160
954,1101.66,3.852,159
955,1100.66,3.851,158
956,1100.69,3.851,157
957,1097.41,3.85,156
958,1095.19,3.85,155
959,1093.22,3.849,154
960,1089.62,3.848,153
961,1086.28,3.847,152
962,1081.91,3.847,151
963,1063.47,3.833,150
964,1069.28,3.839,149
965,1071.22,3.841,148
966,1071.75,3.843,147
967,1074.62,3.845,146
968,1075.75,3.845,145
969,1072.62,3.845,144
970,1075.5,3.845,143
971,1078.19,3.846,142
972,1082.0,3.847,141
973,1078.88,3.846,140
974,1077.69,3.846,139
975,1079.0,3.846,138
976,1077.5,3.846,137
977,1077.19,3.846,136
978,1073.88,3.845,135
979,1070.06,3.845,134
980,1069.06,3.845,133
981,1067.12,3.846,132
982,1066.31,3.846,131
983,1067.38,3.846,130
984,1065.25,3.846,129
985,1063.56,3.845,128
986,1059.25,3.843,127
987,1032.75,3.827,126
988,1044.81,3.835,125
989,1046.81,3.837,124
990,1043.38,3.836,123
991,1046.56,3.837,122
992,1046.56,3.838,121
993,1044.12,3.837,120
994,1039.75,3.838,119
995,1039.75,3.838,118
996,1040.25,3.839,117
997,1040.94,3.839,116
998,1040.12,3.839,115
999,1041.69,3.839,114
1000,1042.31,3.839,113
1001,1041.5,3.839,112
1002,1040.94,3.838,111
1003,1039.44,3.839,110
1004,1034.5,3.838,109
1005,1028.81,3.835,108
1006,1030.44,3.836,107
1007,1028.62,3.836,106
1008,1031.88,3.836,105
1009,1027.81,3.836,104
1010,1026.19,3.835,103
1011,1014.75,3.823,102
1012,190945.99,4.22,101
1013,1008.48,3.815,100
1014,1007.75,3.821,99
1015,1011.97,3.824,98
1016,1016.06,3.825,97
1017,1018.82,3.827,96
1018,1023.07,3.828,95
1019,1024.54,3.828,94
1020,1024.99,3.828,93
1021,1025.41,3.828,92
1022,1024.32,3.829,91
1023,1022.75,3.829,90
1024,1020.92,3.829,89
1025,1020.41,3.829,88
1026,1020.0,3.829,87
1027,1017.15,3.828,86
1028,1017.66,3.828,85
1029,1016.83,3.828,84
1030,1018.22,3.828,83
1031,1016.0,3.828,82
1032,1014.91,3.828,81
1033,1012.61,3.828,80
1034,1011.88,3.828,79
1035,1010.53,3.828,78
1036,1006.98,3.828,77
1037,987.42,3.812,76
1038,991.97,3.818,75
1039,996.06,3.822,74
1040,999.28,3.824,73
1041,1000.59,3.825,72
1042,997.72,3.824,71
1043,997.44,3.824,70
1044,997.44,3.825,69
1045,996.22,3.825,68
1046,994.03,3.825,67
1047,993.78,3.824,66
1048,991.22,3.824,65
1049,989.31,3.823,64
1050,987.59,3.823,63
1051,984.78,3.822,62
1052,981.44,3.821,61
1053,977.78,3.82,60
1054,976.78,3.82,59
1055,977.38,3.821,58
1056,977.31,3.82,57
1057,976.41,3.821,56
1058,976.22,3.821,55
1059,975.84,3.821,54
1060,974.19,3.821,53
1061,973.53,3.82,52
1062,958.66,3.806,51
1063,961.16,3.812,50
1064,960.22,3.813,49
1065,963.19,3.816,48
1066,964.62,3.816,47
1067,967.25,3.817,46
1068,963.44,3.816,45
1069,960.5,3.816,44
1070,962.56,3.816,43
1071,962.88,3.817,42
1072,961.88,3.817,41
1073,962.0,3.817,40
1074,960.5,3.817,39
1075,959.12,3.817,38
1076,956.56,3.816,37
1077,956.12,3.816,36
1078,956.25,3.817,35
1079,951.62,3.815,34
1080,950.31,3.815,33
1081,948.62,3.815,32
1082,950.31,3.816,31
1083,952.62,3.816,30
1084,954.25,3.817,29
1085,954.06,3.818,28
1086,950.19,3.816,27
1087,934.62,3.8,26
1088,939.31,3.808,25
1089,933.94,3.808,24
1090,935.62,3.809,23
1091,943.5,3.811,22
1092,940.75,3.811,21
1093,939.5,3.812,20
1094,944.81,3.813,19
1095,942.5,3.814,18
1096,939.38,3.813,17
1097,940.75,3.814,16
1098,941.31,3.814,15
