电池ID,测试序号,唯一ID,文件名,Capacity,Temperature
B0045,36,221,00221.csv,0.795279016979026,4
B0045,38,223,00223.csv,0.7824128169919247,4
B0045,40,225,00225.csv,0.7649414992231182,4
B0045,42,227,00227.csv,0.7544899426779375,4
B0045,44,229,00229.csv,0.7504048978314295,4
B0045,48,233,00233.csv,0.7407258109620256,4
B0045,50,235,00235.csv,0,4
B0045,52,237,00237.csv,0.7308525593793626,4
B0045,54,239,00239.csv,0.7287255851177903,4
B0045,56,241,00241.csv,0.7161023377036263,4
B0045,60,245,00245.csv,0.7129204834988017,4
B0045,62,247,00247.csv,0.7141991829499618,4
B0045,64,249,00249.csv,0.7190570819844222,4
B0045,66,251,00251.csv,0.7173975428775917,4
B0045,68,253,00253.csv,0.7071027496463946,4
B0045,72,257,00257.csv,0.703531206505542,4
B0045,74,259,00259.csv,0.6941108278958862,4
B0045,76,261,00261.csv,0.6914114388869608,4
B0045,78,263,00263.csv,0.6971551798505504,4
B0045,80,265,00265.csv,0.6832460217432723,4
B0045,84,269,00269.csv,0.6822029317493292,4
B0045,88,273,00273.csv,0.7289529213213379,4
B0045,90,275,00275.csv,0.7139321758287004,4
B0045,92,277,00277.csv,0.6957731747455482,4
B0045,94,279,00279.csv,0.7018312962317095,4
B0045,96,281,00281.csv,0.6911808244378487,4
B0045,100,285,00285.csv,0.6843279752855028,4
B0045,102,287,00287.csv,0.6741394908812485,4
B0045,104,289,00289.csv,0.6670070174301739,4
B0045,106,291,00291.csv,0.6804085117374855,4
B0045,108,293,00293.csv,0.6617864063235485,4
B0045,112,297,00297.csv,0.6623168733492338,4
B0045,114,299,00299.csv,0.6679358357181778,4
B0045,116,301,00301.csv,0.6488990885270688,4
B0045,118,303,00303.csv,0.6503639129625527,4
B0045,120,305,00305.csv,0.6572077690202801,4
B0045,124,309,00309.csv,0.6363517458476216,4
B0045,126,311,00311.csv,0.6536449360948587,4
B0045,128,313,00313.csv,0.6391428272150887,4
B0045,130,315,00315.csv,0.6482206049496236,4
B0045,132,317,00317.csv,0.6287957471922729,4
B0045,136,321,00321.csv,0.6380571850193401,4
B0045,140,325,00325.csv,0.6554825047832906,4
B0045,142,327,00327.csv,0.6484934835397033,4
B0045,144,329,00329.csv,0.6454071687844921,4
B0045,146,331,00331.csv,0.6427008031845645,4
B0045,148,333,00333.csv,0.6352454880802477,4
B0045,152,337,00337.csv,0.6156760019587869,4
B0045,156,341,00341.csv,0.6170833682807023,4
B0045,158,343,00343.csv,0.6434227390858672,4
B0045,160,345,00345.csv,0.6278124433742752,4
B0045,162,347,00347.csv,0.6290078315253372,4
B0045,164,349,00349.csv,0,4
B0045,168,353,00353.csv,0.6266355568292261,4
B0045,172,357,00357.csv,0.6495813516716594,4
B0045,174,359,00359.csv,0.6337485177966306,4
B0045,176,361,00361.csv,0.6298550929085645,4
B0045,178,363,00363.csv,0.6183063778386736,4
B0045,180,365,00365.csv,0.6069476168507777,4
B0048,0,369,00369.csv,1.6579955793677608,4
B0048,4,373,00373.csv,1.5076933476098775,4
B0048,6,375,00375.csv,1.4989223343608031,4
B0048,8,377,00377.csv,1.4782919502497789,4
B0048,10,379,00379.csv,1.461856891390611,4
B0048,12,381,00381.csv,1.4509592706473475,4
B0048,16,385,00385.csv,1.451746997147108,4
B0048,20,389,00389.csv,1.444392866287476,4
B0048,22,391,00391.csv,1.432738323965376,4
B0048,24,393,00393.csv,1.417241201438662,4
B0048,26,395,00395.csv,1.4057559944573452,4
B0048,28,397,00397.csv,1.3902706269897063,4
B0048,32,401,00401.csv,1.4196659307880326,4
B0048,36,405,00405.csv,1.4190563985232272,4
B0048,38,407,00407.csv,1.404272356704056,4
B0048,40,409,00409.csv,1.3916140490958342,4
B0048,42,411,00411.csv,1.3749618350294734,4
B0048,44,413,00413.csv,1.3545155713071164,4
B0048,48,417,00417.csv,1.3440223073315984,4
B0048,50,419,00419.csv,0,4
B0048,52,421,00421.csv,1.372384475860572,4
B0048,54,423,00423.csv,1.3184105752674413,4
B0048,56,425,00425.csv,1.3112727599578604,4
B0048,60,429,00429.csv,1.2970172419001187,4
B0048,62,431,00431.csv,1.2995219526631718,4
B0048,64,433,00433.csv,1.2826154066729571,4
B0048,66,435,00435.csv,1.2752890152407,4
B0048,68,437,00437.csv,1.2735572473264072,4
B0048,72,441,00441.csv,1.2594114333938535,4
B0048,74,443,00443.csv,1.2631632585495876,4
B0048,76,445,00445.csv,1.2491717310136363,4
B0048,78,447,00447.csv,1.233984347835307,4
B0048,80,449,00449.csv,1.240031992028868,4
B0048,84,453,00453.csv,1.30370857198071,4
B0048,88,457,00457.csv,1.315055963470538,4
B0048,90,459,00459.csv,1.2888738300982074,4
B0048,92,461,00461.csv,1.2877137595885193,4
B0048,94,463,00463.csv,1.2673379985315463,4
B0048,96,465,00465.csv,1.250594345697306,4
B0048,100,469,00469.csv,1.2487131179395878,4
B0048,102,471,00471.csv,1.248002326082933,4
B0048,104,473,00473.csv,1.2300895244599586,4
B0048,106,475,00475.csv,1.2244197121500935,4
B0048,108,477,00477.csv,1.2186682845116386,4
B0048,112,481,00481.csv,1.2037865236033616,4
B0048,114,483,00483.csv,1.1947642300832226,4
B0048,116,485,00485.csv,1.2052091893871497,4
B0048,118,487,00487.csv,1.1955746593628465,4
B0048,120,489,00489.csv,1.1888497102149884,4
B0048,124,493,00493.csv,1.1915605250807406,4
B0048,126,495,00495.csv,1.1726587153109655,4
B0048,128,497,00497.csv,1.1841133872494156,4
B0048,130,499,00499.csv,1.1576825122317769,4
B0048,132,501,00501.csv,0,4
B0048,136,505,00505.csv,1.259355851168598,4
B0048,140,509,00509.csv,1.265883375278026,4
B0048,142,511,00511.csv,1.2472598673184119,4
B0048,144,513,00513.csv,1.232808747256218,4
B0048,146,515,00515.csv,1.2319592783041904,4
B0048,148,517,00517.csv,1.220785786262778,4
B0048,152,521,00521.csv,1.2275441303266783,4
B0048,156,525,00525.csv,1.2386788414290355,4
B0048,158,527,00527.csv,1.2283577755407058,4
B0048,160,529,00529.csv,1.2095481507570451,4
B0048,162,531,00531.csv,1.2082142070681048,4
B0048,164,533,00533.csv,0,4
B0048,168,537,00537.csv,1.2998734542832147,4
B0048,172,541,00541.csv,1.2691220651743778,4
B0048,174,543,00543.csv,1.2555144634690785,4
B0048,176,545,00545.csv,1.2519876926897657,4
B0048,178,547,00547.csv,1.2374982003019996,4
B0048,180,549,00549.csv,1.2231273969878986,4
B0046,0,553,00553.csv,1.7282392323598248,4
B0046,4,557,00557.csv,1.5161488467923143,4
B0046,6,559,00559.csv,1.503121190703977,4
B0046,8,561,00561.csv,1.48586566102824,4
B0046,10,563,00563.csv,1.4694562316392716,4
B0046,12,565,00565.csv,1.4589554592644807,4
B0046,16,569,00569.csv,1.4556853555098295,4
B0046,20,573,00573.csv,1.456232262380321,4
B0046,22,575,00575.csv,1.4440592236675138,4
B0046,24,577,00577.csv,1.428294264765868,4
B0046,26,579,00579.csv,1.4199848948034668,4
B0046,28,581,00581.csv,1.4043226018516568,4
B0046,32,585,00585.csv,1.4234351301615986,4
B0046,36,589,00589.csv,1.4339948857967295,4
B0046,38,591,00591.csv,1.4185177047756572,4
B0046,40,593,00593.csv,1.4056313337829422,4
B0046,42,595,00595.csv,1.3890214025155618,4
B0046,44,597,00597.csv,1.3723339082737365,4
B0046,48,601,00601.csv,1.3615778905990565,4
B0046,50,603,00603.csv,0,4
B0046,52,605,00605.csv,1.4100282016237429,4
B0046,54,607,00607.csv,1.3395671374926488,4
B0046,56,609,00609.csv,1.3291515487117478,4
B0046,60,613,00613.csv,1.3181687033905718,4
B0046,62,615,00615.csv,1.312423708466101,4
B0046,64,617,00617.csv,1.2993237532162487,4
B0046,66,619,00619.csv,1.2877483042174591,4
B0046,68,621,00621.csv,1.2865282739749122,4
B0046,72,625,00625.csv,1.2719636386987183,4
B0046,74,627,00627.csv,1.2714495345417192,4
B0046,76,629,00629.csv,1.2615423884659074,4
B0046,78,631,00631.csv,1.2421201619204132,4
B0046,80,633,00633.csv,1.2402537441669796,4
B0046,84,637,00637.csv,1.2851130012242886,4
B0046,88,641,00641.csv,1.3043327841699193,4
B0046,90,643,00643.csv,1.2778639041619957,4
B0046,92,645,00645.csv,1.2723464591651539,4
B0046,94,647,00647.csv,1.2477883952768762,4
B0046,96,649,00649.csv,1.2352499196655526,4
B0046,100,653,00653.csv,1.229251291851949,4
B0046,102,655,00655.csv,1.223890910501634,4
B0046,104,657,00657.csv,1.205423323571373,4
B0046,106,659,00659.csv,1.1957824090008151,4
B0046,108,661,00661.csv,1.1900729496698461,4
B0046,112,665,00665.csv,1.179201763233652,4
B0046,114,667,00667.csv,1.169504032514554,4
B0046,116,669,00669.csv,1.16772376849918,4
B0046,118,671,00671.csv,1.1579256145829042,4
B0046,120,673,00673.csv,1.1499812813376982,4
B0046,124,677,00677.csv,1.150285902223034,4
B0046,126,679,00679.csv,1.1349452274085248,4
B0046,128,681,00681.csv,1.1380960963513609,4
B0046,130,683,00683.csv,1.123711172150547,4
B0046,132,685,00685.csv,0,4
B0046,136,689,00689.csv,1.214119211354098,4
B0046,140,693,00693.csv,1.211944797522819,4
B0046,142,695,00695.csv,1.1971248679331923,4
B0046,144,697,00697.csv,1.1822892151870987,4
B0046,146,699,00699.csv,1.1645336676778397,4
B0046,148,701,00701.csv,1.1535559567518647,4
B0046,152,705,00705.csv,1.1601987101282065,4
B0046,156,709,00709.csv,1.1711716308206082,4
B0046,158,711,00711.csv,1.1563410270783216,4
B0046,160,713,00713.csv,1.141082456193516,4
B0046,162,715,00715.csv,1.1352383596118123,4
B0046,164,717,00717.csv,0,4
B0046,168,721,00721.csv,1.2530847858282803,4
B0046,172,725,00725.csv,1.2050453590356518,4
B0046,174,727,00727.csv,1.19119860196273,4
B0046,176,729,00729.csv,1.17463817374538,4
B0046,178,731,00731.csv,1.1555432048235512,4
B0046,180,733,00733.csv,1.1538041170229467,4
B0043,2,739,00739.csv,1.713782642126885,22
B0043,4,741,00741.csv,1.6955681658647108,22
B0043,6,743,00743.csv,1.6814906372051954,22
B0043,8,745,00745.csv,1.6786372409532953,22
B0043,10,747,00747.csv,1.6694168550864992,22
B0043,14,751,00751.csv,0,22
B0043,16,753,00753.csv,1.6611938521224778,22
B0043,18,755,00755.csv,1.6506423382064332,22
B0043,20,757,00757.csv,1.6424273190907783,22
B0043,22,759,00759.csv,1.6353664801041328,22
B0043,26,763,00763.csv,1.633232875930849,22
B0043,28,765,00765.csv,1.6258840554387932,22
B0043,30,767,00767.csv,1.617976174654771,22
B0043,32,769,00769.csv,1.6136652707273988,22
B0043,34,771,00771.csv,1.605821026619692,22
B0043,38,775,00775.csv,1.6033527961961531,22
B0043,40,777,00777.csv,1.5951342406182645,22
B0043,42,779,00779.csv,1.5878135544728507,22
B0043,44,781,00781.csv,1.5800601969084245,22
B0043,46,783,00783.csv,1.575565087879128,22
B0043,50,787,00787.csv,1.5950169012164208,22
B0043,54,791,00791.csv,1.5898075522577595,22
B0043,56,793,00793.csv,1.5807953202097411,22
B0043,58,795,00795.csv,1.5704333289187615,22
B0043,60,797,00797.csv,1.5643368431897877,22
B0043,62,799,00799.csv,1.558307017802491,22
B0043,66,803,00803.csv,1.5537149289772467,22
B0043,68,805,00805.csv,1.549528250585513,22
B0043,70,807,00807.csv,1.5424430535161062,22
B0043,72,809,00809.csv,1.54256227031715,22
B0043,74,811,00811.csv,1.5309356452520158,22
B0043,78,815,00815.csv,1.5247733176952427,22
B0043,80,817,00817.csv,1.5196742408779502,22
B0043,82,819,00819.csv,1.5123696925788683,22
B0043,84,821,00821.csv,1.499914486202397,22
B0043,86,823,00823.csv,1.4924106271188253,22
B0043,90,827,00827.csv,1.492624987952706,22
B0043,92,829,00829.csv,1.4924024018806028,22
B0043,94,831,00831.csv,1.4853020201751674,22
B0043,96,833,00833.csv,1.477208127101587,22
B0043,98,835,00835.csv,1.4694738525181406,22
B0043,102,839,00839.csv,0.057034391042653794,4
B0043,106,843,00843.csv,0.0571536334895882,4
B0043,108,845,00845.csv,0.05729366005937665,4
B0043,110,847,00847.csv,0.05744203185278054,4
B0043,112,849,00849.csv,0.06713062107721124,4
B0043,115,852,00852.csv,0.06714781920234739,4
B0043,117,854,00854.csv,0.06732001211690299,4
B0043,119,856,00856.csv,0.06784038051613318,4
B0043,121,858,00858.csv,0.06799604927210635,4
B0043,123,860,00860.csv,0.06828011147886554,4
B0043,127,864,00864.csv,0.06844632943125976,4
B0043,129,866,00866.csv,0.06851361914788083,4
B0043,131,868,00868.csv,0.06887402435616684,4
B0043,133,870,00870.csv,0.056544389321695726,4
B0043,135,872,00872.csv,0.06918353164189846,4
B0043,139,876,00876.csv,0.059122086455436665,4
B0043,141,878,00878.csv,0.06956120084140223,4
B0043,143,880,00880.csv,0.07017897804376615,4
B0043,145,882,00882.csv,0.07028148183862523,4
B0043,147,884,00884.csv,0.05787364202878375,4
B0043,151,888,00888.csv,0.07056618554293374,4
B0043,153,890,00890.csv,0.057989410208958,4
B0043,155,892,00892.csv,0.07129266446800787,4
B0043,157,894,00894.csv,0.07146546557664281,4
B0043,159,896,00896.csv,0.0716254973792324,4
B0043,163,900,00900.csv,0.07192596356272017,4
B0043,167,904,00904.csv,0.058840095111364746,4
B0043,169,906,00906.csv,0.07213853480103966,4
B0043,171,908,00908.csv,0.07231835711877917,4
B0043,173,910,00910.csv,0.05938170626668099,4
B0043,175,912,00912.csv,0.07294488485625279,4
B0043,179,916,00916.csv,0.07306917734079586,4
B0043,181,918,00918.csv,0.07317054128128272,4
B0043,183,920,00920.csv,0.07347430293304898,4
B0043,185,922,00922.csv,0.06010697591831878,4
B0043,187,924,00924.csv,0.07383162509955737,4
B0043,191,928,00928.csv,0.060495215307428206,4
B0043,193,930,00930.csv,0.060604010237618126,4
B0043,195,932,00932.csv,0.06073438432235217,4
B0043,197,934,00934.csv,0.06099653048237791,4
B0043,199,936,00936.csv,0.061130459259873135,4
B0043,203,940,00940.csv,0.06129124410987595,4
B0043,205,942,00942.csv,0.06130329065804092,4
B0043,207,944,00944.csv,0.061151661574090986,4
B0043,209,946,00946.csv,0.061405387192057306,4
B0043,211,948,00948.csv,0.06175780765942851,4
B0043,215,952,00952.csv,1.5250840516518187,4
B0043,219,956,00956.csv,1.552568811301301,4
B0043,221,958,00958.csv,1.5427752626774387,4
B0043,223,960,00960.csv,1.5331932831264679,4
B0043,225,962,00962.csv,1.5152721949172019,4
B0043,227,964,00964.csv,1.5074989761997712,4
B0043,231,968,00968.csv,1.4896288908647644,4
B0043,233,970,00970.csv,1.4780778852088083,4
B0043,235,972,00972.csv,1.4700035345334466,4
B0043,237,974,00974.csv,1.4565623180137077,4
B0043,239,976,00976.csv,1.445976962830235,4
B0043,243,980,00980.csv,1.4325855992469252,4
B0043,245,982,00982.csv,1.4197344854662965,4
B0043,247,984,00984.csv,1.401262575071573,4
B0043,249,986,00986.csv,1.3862945308535968,4
B0043,251,988,00988.csv,1.384130256052478,4
B0043,255,992,00992.csv,1.3651743201871416,4
B0043,257,994,00994.csv,1.361508332192898,4
B0043,259,996,00996.csv,1.351001663879717,4
B0043,261,998,00998.csv,1.3282588067265129,4
B0043,263,1000,01000.csv,1.3257206687421472,4
B0043,267,1004,01004.csv,1.3142909715978441,4
B0043,269,1006,01006.csv,1.3003260094811093,4
B0043,271,1008,01008.csv,1.2881071401556836,4
B0043,273,1010,01010.csv,1.2767801501201566,4
B0032,1,1013,01013.csv,1.7048641073512139,43
B0032,3,1015,01015.csv,1.8940319526948572,43
B0032,5,1017,01017.csv,1.8747686491853095,43
B0032,7,1019,01019.csv,1.8654947184112376,43
B0032,9,1021,01021.csv,1.8527398169018068,43
B0032,13,1025,01025.csv,1.844174397003866,43
B0032,15,1027,01027.csv,1.8430238477512753,43
B0032,17,1029,01029.csv,1.8302818174911863,43
B0032,19,1031,01031.csv,1.8173838456081814,43
B0032,21,1033,01033.csv,1.8057992981104682,43
B0032,25,1037,01037.csv,1.8149829605049186,43
B0032,27,1039,01039.csv,1.7995150369321797,43
B0032,29,1041,01041.csv,1.7866516942518147,43
B0032,31,1043,01043.csv,1.7735550719416031,43
B0032,33,1045,01045.csv,1.769995333364443,43
B0032,37,1049,01049.csv,1.799526080374287,43
B0032,39,1051,01051.csv,1.7968530684449833,43
B0032,41,1053,01053.csv,1.7838265504081745,43
B0032,43,1055,01055.csv,1.7696444491040102,43
B0032,45,1057,01057.csv,1.7512940457049684,43
B0032,49,1061,01061.csv,1.7697554297961993,43
B0032,51,1063,01063.csv,1.7547726933914918,43
B0032,53,1065,01065.csv,1.7389166355812984,43
B0032,55,1067,01067.csv,1.7337200518764075,43
B0032,57,1069,01069.csv,1.7150972597500092,43
B0032,61,1073,01073.csv,1.7462926148815636,43
B0032,63,1075,01075.csv,1.719149261914565,43
B0032,65,1077,01077.csv,1.711582246191498,43
B0032,67,1079,01079.csv,1.6951051195225901,43
B0032,69,1081,01081.csv,1.7005124371100973,43
B0032,73,1085,01085.csv,1.7080989351250158,43
B0032,75,1087,01087.csv,1.691435430587127,43
B0032,77,1089,01089.csv,1.6844494328889932,43
B0032,79,1091,01091.csv,1.664037581688075,43
B0032,81,1093,01093.csv,1.6686372014231974,43
B0032,85,1097,01097.csv,1.6899344075625968,43
B0032,87,1099,01099.csv,1.669431712846442,43
B0032,89,1101,01101.csv,1.6634226761839213,43
B0032,91,1103,01103.csv,1.6436152195947373,43
B0032,93,1105,01105.csv,1.6358000873538245,43
B0039,0,1109,01109.csv,0.11903831859341765,24
B0039,4,1113,01113.csv,0.4729861500927512,24
B0039,6,1115,01115.csv,0.16280793829202067,24
B0039,8,1117,01117.csv,0.4787632853388766,24
B0039,10,1119,01119.csv,0.4711383364607152,24
B0039,12,1121,01121.csv,0.4668172561120673,24
B0039,16,1125,01125.csv,0.4699932676625547,24
B0039,20,1129,01129.csv,0.4627052684317185,24
B0039,22,1131,01131.csv,0.46049447826560974,24
B0039,24,1133,01133.csv,0.4412227248835694,24
B0039,26,1135,01135.csv,0.44354421943965844,24
B0039,28,1137,01137.csv,0.4126655541164234,24
B0039,32,1141,01141.csv,1.7461791006389626,44
B0039,36,1145,01145.csv,1.7695250734505363,44
B0039,38,1147,01147.csv,1.7715391419501945,44
B0039,40,1149,01149.csv,1.770625483958279,44
B0039,42,1151,01151.csv,1.7704040639447296,44
B0039,44,1153,01153.csv,1.7695081788801759,44
B0039,48,1157,01157.csv,1.7638356274269416,44
B0039,52,1161,01161.csv,1.7715725869786123,44
B0039,54,1163,01163.csv,1.7701196454489683,44
B0039,56,1165,01165.csv,1.7667569752860521,44
B0039,58,1167,01167.csv,1.7648743629092642,44
B0039,60,1169,01169.csv,1.763838685943225,44
B0039,64,1173,01173.csv,1.7657225752056789,44
B0039,66,1175,01175.csv,1.7645632809383045,44
B0039,68,1177,01177.csv,1.7608991948479125,44
B0039,70,1179,01179.csv,1.7598362095817717,44
B0039,72,1181,01181.csv,1.7590955400143164,44
B0039,76,1185,01185.csv,1.7560495443976523,44
B0039,78,1187,01187.csv,1.7571677199949287,44
B0039,80,1189,01189.csv,1.7558911269459976,44
B0039,82,1191,01191.csv,1.7533419072229914,44
B0039,84,1193,01193.csv,1.7506673845335168,44
B0039,88,1197,01197.csv,1.7510006664162403,44
B0039,90,1199,01199.csv,1.7496058853847873,44
B0039,92,1201,01201.csv,1.7477359172183355,44
B0039,94,1203,01203.csv,1.7444225468099093,44
B0039,96,1205,01205.csv,1.743308366083936,44
B0039,100,1209,01209.csv,1.6556691733888471,44
B0039,104,1213,01213.csv,1.64297669457593,44
B0039,106,1215,01215.csv,1.6343822729361266,44
B0039,108,1217,01217.csv,1.6265067062165601,44
B0039,110,1219,01219.csv,1.618865991735961,44
B0039,112,1221,01221.csv,1.6114968339209264,44
B0039,116,1225,01225.csv,1.3240805773461226,44
B0039,120,1229,01229.csv,1.3153386221697692,44
B0040,0,1231,01231.csv,0.6734628137095633,24
B0040,4,1235,01235.csv,0.7913062105760345,24
B0040,6,1237,01237.csv,0.7865824034601745,24
B0040,8,1239,01239.csv,0.7795871426061582,24
B0040,10,1241,01241.csv,0.7628241523125163,24
B0040,12,1243,01243.csv,0.7405021514606399,24
B0040,16,1247,01247.csv,0.7783970881100656,24
B0040,20,1251,01251.csv,0.7733165409025605,24
B0040,22,1253,01253.csv,0.7589575236409498,24
B0040,24,1255,01255.csv,0.7407399462256391,24
B0040,26,1257,01257.csv,0.7446218752617147,24
B0040,28,1259,01259.csv,0.7149875629820736,24
B0040,32,1263,01263.csv,1.7075144448533202,44
B0040,36,1267,01267.csv,1.730880859428193,44
B0040,38,1269,01269.csv,1.7328212845233328,44
B0040,40,1271,01271.csv,1.7317734323431513,44
B0040,42,1273,01273.csv,1.7341296392350067,44
B0040,44,1275,01275.csv,1.7334756929990074,44
B0040,48,1279,01279.csv,1.7243057179457875,44
B0040,52,1283,01283.csv,1.7318975861687205,44
B0040,54,1285,01285.csv,1.7333691208377457,44
B0040,56,1287,01287.csv,1.732175650153278,44
B0040,58,1289,01289.csv,1.7334832776102866,44
B0040,60,1291,01291.csv,1.732372495746513,44
B0040,64,1295,01295.csv,1.7338175297202416,44
B0040,66,1297,01297.csv,1.7329630786357868,44
B0040,68,1299,01299.csv,1.7318839084573339,44
B0040,70,1301,01301.csv,1.7306960059812662,44
B0040,72,1303,01303.csv,1.7296011601947467,44
B0040,76,1307,01307.csv,1.7296187381064656,44
B0040,78,1309,01309.csv,1.7307198617163877,44
B0040,80,1311,01311.csv,1.729274556175907,44
B0040,82,1313,01313.csv,1.7297962212599596,44
B0040,84,1315,01315.csv,1.7268942069037494,44
B0040,88,1319,01319.csv,1.7272191689306016,44
B0040,90,1321,01321.csv,1.7285674981160106,44
B0040,92,1323,01323.csv,1.726636381605547,44
B0040,94,1325,01325.csv,1.7262424141835067,44
B0040,96,1327,01327.csv,1.7252725927602899,44
B0040,100,1331,01331.csv,1.6668026877455053,44
B0040,104,1335,01335.csv,1.666754853762041,44
B0040,106,1337,01337.csv,1.6583274448761054,44
B0040,108,1339,01339.csv,1.65032263550715,44
B0040,110,1341,01341.csv,1.6493406341242296,44
B0040,112,1343,01343.csv,1.641919055037739,44
B0040,116,1347,01347.csv,0.425812451177779,44
B0040,120,1351,01351.csv,0.5569902643736575,44
B0029,1,1354,01354.csv,1.697507332205763,43
B0029,3,1356,01356.csv,1.844701206961174,43
B0029,5,1358,01358.csv,1.8254376674722927,43
B0029,7,1360,01360.csv,1.815750429913437,43
B0029,9,1362,01362.csv,1.8132993337127028,43
B0029,13,1366,01366.csv,1.8151647619660576,43
B0029,15,1368,01368.csv,1.8143317955190057,43
B0029,17,1370,01370.csv,1.801343601809866,43
B0029,19,1372,01372.csv,1.7881558802945825,43
B0029,21,1374,01374.csv,1.7760714604539518,43
B0029,25,1378,01378.csv,1.7852807447597443,43
B0029,27,1380,01380.csv,1.7698116401111978,43
B0029,29,1382,01382.csv,1.7565231680521758,43
B0029,31,1384,01384.csv,1.7543413277348154,43
B0029,33,1386,01386.csv,1.7392875506998715,43
B0029,37,1390,01390.csv,1.7797845109331345,43
B0029,39,1392,01392.csv,1.7657088508465202,43
B0029,41,1394,01394.csv,1.7523941408724169,43
B0029,43,1396,01396.csv,1.7380191225603105,43
B0029,45,1398,01398.csv,1.7312214443143976,43
B0029,49,1402,01402.csv,1.7379128985265808,43
B0029,51,1404,01404.csv,1.7224270683625882,43
B0029,53,1406,01406.csv,1.7184213765608034,43
B0029,55,1408,01408.csv,1.7010220930648232,43
